batch_size,seed,accuracy,macro_f1,macro_auc
16,0,0.2863157894736842,0.22419901739820675,0.8454218159976455
16,1,0.29894736842105263,0.2526698191055684,0.8474905567605229
16,2,0.29894736842105263,0.2512469987449906,0.8441177501277821
16,3,0.28421052631578947,0.24305981072996094,0.8454346460647989
16,4,0.2863157894736842,0.22822510842752244,0.8411652376649165
32,0,0.28842105263157897,0.23792229068871407,0.8444212953848641
32,1,0.28,0.23011522541643137,0.8450615752291744
32,2,0.29894736842105263,0.2390891790377414,0.8464128864880526
32,3,0.27578947368421053,0.22670870052698597,0.8466572356330915
32,4,0.28842105263157897,0.2466028039238327,0.8454511118858998
