task,encoder,head,level,seed,metric,value,n_units,n_subjects
B1_corrected,geommlp,softmax,scan,0,accuracy,0.11467391304347826,1840,733
B1_corrected,geommlp,softmax,scan,0,macro_f1,0.10251476549927287,1840,733
B1_corrected,geommlp,softmax,scan,0,macro_auc,0.6495292255770928,1840,733
B1_corrected,geommlp,softmax,scan,0,f1_class::Cartilage,0.04597701149425287,1840,733
B1_corrected,geommlp,softmax,scan,0,f1_class::Ciliopathy,0.056338028169014086,1840,733
B1_corrected,geommlp,softmax,scan,0,f1_class::Cohesinopathy,0.06167400881057269,1840,733
B1_corrected,geommlp,softmax,scan,0,f1_class::Connective Tissue,0.23976608187134502,1840,733
B1_corrected,geommlp,softmax,scan,0,f1_class::Control,0.2236842105263158,1840,733
B1_corrected,geommlp,softmax,scan,0,f1_class::DNA Repair,0.09944751381215469,1840,733
B1_corrected,geommlp,softmax,scan,0,f1_class::Deletion,0.03896103896103896,1840,733
B1_corrected,geommlp,softmax,scan,0,f1_class::Duplication,0.06896551724137931,1840,733
B1_corrected,geommlp,softmax,scan,0,f1_class::Ectodermal,0.06542056074766354,1840,733
B1_corrected,geommlp,softmax,scan,0,f1_class::Growth,0.06857142857142857,1840,733
B1_corrected,geommlp,softmax,scan,0,f1_class::Imprinting,0.12941176470588237,1840,733
B1_corrected,geommlp,softmax,scan,0,f1_class::Lysozome,0.13229571984435798,1840,733
B1_corrected,geommlp,softmax,scan,0,f1_class::Neurocristopathy,0.08163265306122448,1840,733
B1_corrected,geommlp,softmax,scan,0,f1_class::Peroxisome,0.2158273381294964,1840,733
B1_corrected,geommlp,softmax,scan,0,f1_class::Primary Palate,0.16494845360824742,1840,733
B1_corrected,geommlp,softmax,scan,0,f1_class::Rasopathy,0.07662835249042145,1840,733
B1_corrected,geommlp,softmax,scan,0,f1_class::Sex Chromosome,0.12962962962962962,1840,733
B1_corrected,geommlp,softmax,scan,0,f1_class::Trisomy,0.03508771929824561,1840,733
B1_corrected,geommlp,softmax,scan,0,f1_class::Uncategorized,0.013513513513513514,1840,733
B1_corrected,geommlp,softmax,subject,0,accuracy,0.12278308321964529,733,733
B1_corrected,geommlp,softmax,subject,0,macro_f1,0.1070927689299878,733,733
B1_corrected,geommlp,softmax,subject,0,macro_auc,0.6515052578709298,733,733
B1_corrected,geommlp,softmax,subject,0,f1_class::Cartilage,0.09090909090909091,733,733
B1_corrected,geommlp,softmax,subject,0,f1_class::Ciliopathy,0.06060606060606061,733,733
B1_corrected,geommlp,softmax,subject,0,f1_class::Cohesinopathy,0.09090909090909091,733,733
B1_corrected,geommlp,softmax,subject,0,f1_class::Connective Tissue,0.2222222222222222,733,733
B1_corrected,geommlp,softmax,subject,0,f1_class::Control,0.2318840579710145,733,733
B1_corrected,geommlp,softmax,subject,0,f1_class::DNA Repair,0.07547169811320754,733,733
B1_corrected,geommlp,softmax,subject,0,f1_class::Deletion,0.06,733,733
B1_corrected,geommlp,softmax,subject,0,f1_class::Duplication,0.0,733,733
B1_corrected,geommlp,softmax,subject,0,f1_class::Ectodermal,0.0784313725490196,733,733
B1_corrected,geommlp,softmax,subject,0,f1_class::Growth,0.075,733,733
B1_corrected,geommlp,softmax,subject,0,f1_class::Imprinting,0.0851063829787234,733,733
B1_corrected,geommlp,softmax,subject,0,f1_class::Lysozome,0.0963855421686747,733,733
B1_corrected,geommlp,softmax,subject,0,f1_class::Neurocristopathy,0.08,733,733
B1_corrected,geommlp,softmax,subject,0,f1_class::Peroxisome,0.17543859649122806,733,733
B1_corrected,geommlp,softmax,subject,0,f1_class::Primary Palate,0.3181818181818182,733,733
B1_corrected,geommlp,softmax,subject,0,f1_class::Rasopathy,0.04040404040404041,733,733
B1_corrected,geommlp,softmax,subject,0,f1_class::Sex Chromosome,0.23529411764705882,733,733
B1_corrected,geommlp,softmax,subject,0,f1_class::Trisomy,0.0,733,733
B1_corrected,geommlp,softmax,subject,0,f1_class::Uncategorized,0.018518518518518517,733,733
B1_corrected,geommlp,proto,scan,0,accuracy,0.09456521739130434,1840,733
B1_corrected,geommlp,proto,scan,0,macro_f1,0.07676167632448916,1840,733
B1_corrected,geommlp,proto,scan,0,macro_auc,0.6355508149241372,1840,733
B1_corrected,geommlp,proto,scan,0,f1_class::Cartilage,0.075,1840,733
B1_corrected,geommlp,proto,scan,0,f1_class::Ciliopathy,0.031746031746031744,1840,733
B1_corrected,geommlp,proto,scan,0,f1_class::Cohesinopathy,0.08888888888888889,1840,733
B1_corrected,geommlp,proto,scan,0,f1_class::Connective Tissue,0.22691292875989447,1840,733
B1_corrected,geommlp,proto,scan,0,f1_class::Control,0.18181818181818182,1840,733
B1_corrected,geommlp,proto,scan,0,f1_class::DNA Repair,0.0728744939271255,1840,733
B1_corrected,geommlp,proto,scan,0,f1_class::Deletion,0.021052631578947368,1840,733
B1_corrected,geommlp,proto,scan,0,f1_class::Duplication,0.0,1840,733
B1_corrected,geommlp,proto,scan,0,f1_class::Ectodermal,0.08163265306122448,1840,733
