task,encoder,head,level,seed,metric,value,n_units,n_subjects
A1_ts1,geommlp,softmax,scan,0,accuracy,0.5743440233236151,1029,1029
A1_ts1,geommlp,softmax,scan,0,macro_f1,0.2731530606294574,1029,1029
A1_ts1,geommlp,softmax,scan,0,macro_auc,0.5781841300336256,1029,1029
A1_ts1,geommlp,softmax,scan,0,f1_class::Unaffected,0.7413441955193483,1029,1029
A1_ts1,geommlp,softmax,scan,0,f1_class::Cleft Lip,0.0620155038759689,1029,1029
A1_ts1,geommlp,softmax,scan,0,f1_class::Cleft Palate,0.0601503759398496,1029,1029
A1_ts1,geommlp,softmax,scan,0,f1_class::Cleft Lip and Palate,0.2291021671826625,1029,1029
A1_ts1,pointnet,softmax,scan,0,accuracy,0.7055393586005831,1029,1029
A1_ts1,pointnet,softmax,scan,0,macro_f1,0.2401794421689096,1029,1029
A1_ts1,pointnet,softmax,scan,0,macro_auc,0.5042820764800162,1029,1029
A1_ts1,pointnet,softmax,scan,0,f1_class::Unaffected,0.8273844353423054,1029,1029
A1_ts1,pointnet,softmax,scan,0,f1_class::Cleft Lip,0.0,1029,1029
A1_ts1,pointnet,softmax,scan,0,f1_class::Cleft Palate,0.0,1029,1029
A1_ts1,pointnet,softmax,scan,0,f1_class::Cleft Lip and Palate,0.1333333333333333,1029,1029
A1_ts1,dgcnn,softmax,scan,0,accuracy,0.8007774538386784,1029,1029
A1_ts1,dgcnn,softmax,scan,0,macro_f1,0.2457635022671181,1029,1029
A1_ts1,dgcnn,softmax,scan,0,macro_auc,0.5032794066256552,1029,1029
A1_ts1,dgcnn,softmax,scan,0,f1_class::Unaffected,0.8909487459105779,1029,1029
A1_ts1,dgcnn,softmax,scan,0,f1_class::Cleft Lip,0.0,1029,1029
A1_ts1,dgcnn,softmax,scan,0,f1_class::Cleft Palate,0.0,1029,1029
A1_ts1,dgcnn,softmax,scan,0,f1_class::Cleft Lip and Palate,0.0921052631578947,1029,1029
A1_ts1,pointnet2,softmax,scan,0,accuracy,0.685131195335277,1029,1029
A1_ts1,pointnet2,softmax,scan,0,macro_f1,0.2446370382540595,1029,1029
A1_ts1,pointnet2,softmax,scan,0,macro_auc,0.5113538678455007,1029,1029
A1_ts1,pointnet2,softmax,scan,0,f1_class::Unaffected,0.8144144144144144,1029,1029
A1_ts1,pointnet2,softmax,scan,0,f1_class::Cleft Lip,0.0,1029,1029
A1_ts1,pointnet2,softmax,scan,0,f1_class::Cleft Palate,0.0,1029,1029
A1_ts1,pointnet2,softmax,scan,0,f1_class::Cleft Lip and Palate,0.1641337386018237,1029,1029
A1_ts1,pointnet2,softmax,scan,1,accuracy,0.6705539358600583,1029,1029
A1_ts1,pointnet2,softmax,scan,1,macro_f1,0.2458132866541337,1029,1029
A1_ts1,pointnet2,softmax,scan,1,macro_auc,0.501011361834322,1029,1029
A1_ts1,pointnet2,softmax,scan,1,f1_class::Unaffected,0.8019500304692261,1029,1029
A1_ts1,pointnet2,softmax,scan,1,f1_class::Cleft Lip,0.0,1029,1029
A1_ts1,pointnet2,softmax,scan,1,f1_class::Cleft Palate,0.0,1029,1029
