task,encoder,head,level,seed,metric,value,n_units,n_subjects
XS_fix_PH,geommlp,softmax,scan,0,accuracy,0.38418367346938775,1960,1959
XS_fix_PH,geommlp,softmax,scan,0,macro_f1,0.21502986643829863,1960,1959
XS_fix_PH,geommlp,softmax,scan,0,macro_auc,0.49858915177982543,1960,1959
XS_fix_PH,geommlp,softmax,scan,0,f1_class::Unaffected,0.5540308747855918,1960,1959
XS_fix_PH,geommlp,softmax,scan,0,f1_class::Cleft Lip,0.07352941176470588,1960,1959
XS_fix_PH,geommlp,softmax,scan,0,f1_class::Cleft Palate,0.022263450834879406,1960,1959
XS_fix_PH,geommlp,softmax,scan,0,f1_class::Cleft Lip and Palate,0.21029572836801752,1960,1959
XS_fix_PH,pointnet,softmax,scan,0,accuracy,0.5862244897959183,1960,1959
XS_fix_PH,pointnet,softmax,scan,0,macro_f1,0.2731645274144336,1960,1959
XS_fix_PH,pointnet,softmax,scan,0,macro_auc,0.5553779671164216,1960,1959
XS_fix_PH,pointnet,softmax,scan,0,f1_class::Unaffected,0.7390833634067123,1960,1959
XS_fix_PH,pointnet,softmax,scan,0,f1_class::Cleft Lip,0.026490066225165563,1960,1959
XS_fix_PH,pointnet,softmax,scan,0,f1_class::Cleft Palate,0.03296703296703297,1960,1959
XS_fix_PH,pointnet,softmax,scan,0,f1_class::Cleft Lip and Palate,0.29411764705882354,1960,1959
XS_fix_PH,dgcnn,softmax,scan,0,accuracy,0.585204081632653,1960,1959
XS_fix_PH,dgcnn,softmax,scan,0,macro_f1,0.262570111311046,1960,1959
XS_fix_PH,dgcnn,softmax,scan,0,macro_auc,0.6135437960191237,1960,1959
XS_fix_PH,dgcnn,softmax,scan,0,f1_class::Unaffected,0.7466473359913012,1960,1959
XS_fix_PH,dgcnn,softmax,scan,0,f1_class::Cleft Lip,0.021052631578947368,1960,1959
XS_fix_PH,dgcnn,softmax,scan,0,f1_class::Cleft Palate,0.018691588785046728,1960,1959
XS_fix_PH,dgcnn,softmax,scan,0,f1_class::Cleft Lip and Palate,0.2638888888888889,1960,1959
XS_fix_PH,pointnet2,softmax,scan,0,accuracy,0.4801020408163265,1960,1959
XS_fix_PH,pointnet2,softmax,scan,0,macro_f1,0.27727546871619924,1960,1959
XS_fix_PH,pointnet2,softmax,scan,0,macro_auc,0.6377772785175713,1960,1959
XS_fix_PH,pointnet2,softmax,scan,0,f1_class::Unaffected,0.6536585365853659,1960,1959
XS_fix_PH,pointnet2,softmax,scan,0,f1_class::Cleft Lip,0.08588957055214724,1960,1959
XS_fix_PH,pointnet2,softmax,scan,0,f1_class::Cleft Palate,0.059964726631393295,1960,1959
XS_fix_PH,pointnet2,softmax,scan,0,f1_class::Cleft Lip and Palate,0.3095890410958904,1960,1959
XS_fix_PH,pointnet2,softmax,scan,1,accuracy,0.47244897959183674,1960,1959
XS_fix_PH,pointnet2,softmax,scan,1,macro_f1,0.2757496354912432,1960,1959
XS_fix_PH,pointnet2,softmax,scan,1,macro_auc,0.6369379557986002,1960,1959
XS_fix_PH,pointnet2,softmax,scan,1,f1_class::Unaffected,0.6426524764633648,1960,1959
XS_fix_PH,pointnet2,softmax,scan,1,f1_class::Cleft Lip,0.08383233532934131,1960,1959
XS_fix_PH,pointnet2,softmax,scan,1,f1_class::Cleft Palate,0.05944055944055944,1960,1959
XS_fix_PH,pointnet2,softmax,scan,1,f1_class::Cleft Lip and Palate,0.3170731707317073,1960,1959
XS_fix_PH,pointnet2,softmax,scan,2,accuracy,0.47244897959183674,1960,1959
