task,encoder,head,level,seed,metric,value,n_units,n_subjects
XSB_fix_PH,geommlp,softmax,scan,0,accuracy,0.6775510204081633,1960,1959
XSB_fix_PH,geommlp,softmax,scan,0,macro_f1,0.5757808219178082,1960,1959
XSB_fix_PH,geommlp,softmax,scan,0,macro_auc,0.6253904623073719,1960,1959
XSB_fix_PH,geommlp,softmax,scan,0,f1_class::Unaffected,0.7835616438356164,1960,1959
XSB_fix_PH,geommlp,softmax,scan,0,f1_class::Affected,0.368,1960,1959
XSB_fix_PH,pointnet,softmax,scan,0,accuracy,0.6637755102040817,1960,1959
XSB_fix_PH,pointnet,softmax,scan,0,macro_f1,0.5930703116557675,1960,1959
XSB_fix_PH,pointnet,softmax,scan,0,macro_auc,0.6992984693877551,1960,1959
XSB_fix_PH,pointnet,softmax,scan,0,f1_class::Unaffected,0.7626935541951746,1960,1959
XSB_fix_PH,pointnet,softmax,scan,0,f1_class::Affected,0.42344706911636043,1960,1959
XSB_fix_PH,dgcnn,softmax,scan,0,accuracy,0.8229591836734694,1960,1959
XSB_fix_PH,dgcnn,softmax,scan,0,macro_f1,0.7012561281103962,1960,1959
XSB_fix_PH,dgcnn,softmax,scan,0,macro_auc,0.810939777696793,1960,1959
XSB_fix_PH,dgcnn,softmax,scan,0,f1_class::Unaffected,0.8919339769542198,1960,1959
XSB_fix_PH,dgcnn,softmax,scan,0,f1_class::Affected,0.5105782792665726,1960,1959
XSB_fix_PH,pointnet2,softmax,scan,0,accuracy,0.7403061224489796,1960,1959
XSB_fix_PH,pointnet2,softmax,scan,0,macro_f1,0.6491629093975627,1960,1959
XSB_fix_PH,pointnet2,softmax,scan,0,macro_auc,0.7563653490733029,1960,1959
XSB_fix_PH,pointnet2,softmax,scan,0,f1_class::Unaffected,0.8279824264954376,1960,1959
XSB_fix_PH,pointnet2,softmax,scan,0,f1_class::Affected,0.4703433922996878,1960,1959
XSB_fix_PH,pointnet2,softmax,scan,1,accuracy,0.7423469387755102,1960,1959
XSB_fix_PH,pointnet2,softmax,scan,1,macro_f1,0.6489422336538062,1960,1959
XSB_fix_PH,pointnet2,softmax,scan,1,macro_auc,0.7545236685235319,1960,1959
XSB_fix_PH,pointnet2,softmax,scan,1,f1_class::Unaffected,0.8300235610905419,1960,1959
XSB_fix_PH,pointnet2,softmax,scan,1,f1_class::Affected,0.4678609062170706,1960,1959
XSB_fix_PH,pointnet2,softmax,scan,2,accuracy,0.7387755102040816,1960,1959
XSB_fix_PH,pointnet2,softmax,scan,2,macro_f1,0.6483274950202624,1960,1959
XSB_fix_PH,pointnet2,softmax,scan,2,macro_auc,0.7459432593190338,1960,1959
XSB_fix_PH,pointnet2,softmax,scan,2,f1_class::Unaffected,0.8266756939742722,1960,1959
XSB_fix_PH,pointnet2,softmax,scan,2,f1_class::Affected,0.4699792960662526,1960,1959
XSB_fix_PH,pointnet2,softmax,scan,3,accuracy,0.75,1960,1959
XSB_fix_PH,pointnet2,softmax,scan,3,macro_f1,0.6662120700273453,1960,1959
XSB_fix_PH,pointnet2,softmax,scan,3,macro_auc,0.7539859693877551,1960,1959
XSB_fix_PH,pointnet2,softmax,scan,3,f1_class::Unaffected,0.8334466349422162,1960,1959
XSB_fix_PH,pointnet2,softmax,scan,3,f1_class::Affected,0.49897750511247446,1960,1959
XSB_fix_PH,pointnet2,softmax,scan,4,accuracy,0.7454081632653061,1960,1959
XSB_fix_PH,pointnet2,softmax,scan,4,macro_f1,0.6584434528767279,1960,1959
XSB_fix_PH,pointnet2,softmax,scan,4,macro_auc,0.7558105672115785,1960,1959
XSB_fix_PH,pointnet2,softmax,scan,4,f1_class::Unaffected,0.8307900983384198,1960,1959
XSB_fix_PH,pointnet2,softmax,scan,4,f1_class::Affected,0.486096807415036,1960,1959
XSB_fix_FC,geommlp,softmax,scan,0,accuracy,0.675933280381255,1259,1259
XSB_fix_FC,geommlp,softmax,scan,0,macro_f1,0.498406374501992,1259,1259
XSB_fix_FC,geommlp,softmax,scan,0,macro_auc,0.6425339366515838,1259,1259
XSB_fix_FC,geommlp,softmax,scan,0,f1_class::Unaffected,0.796812749003984,1259,1259
XSB_fix_FC,geommlp,softmax,scan,0,f1_class::Affected,0.2,1259,1259
XSB_fix_FC,pointnet,softmax,scan,0,accuracy,0.7434471803018269,1259,1259
XSB_fix_FC,pointnet,softmax,scan,0,macro_f1,0.5479062186977833,1259,1259
XSB_fix_FC,pointnet,softmax,scan,0,macro_auc,0.6743521955022286,1259,1259
XSB_fix_FC,pointnet,softmax,scan,0,f1_class::Unaffected,0.8452323909918543,1259,1259
XSB_fix_FC,pointnet,softmax,scan,0,f1_class::Affected,0.2505800464037123,1259,1259
XSB_fix_FC,dgcnn,softmax,scan,0,accuracy,0.8395552025416998,1259,1259
XSB_fix_FC,dgcnn,softmax,scan,0,macro_f1,0.6345123535566056,1259,1259
XSB_fix_FC,dgcnn,softmax,scan,0,macro_auc,0.8216991204433373,1259,1259
XSB_fix_FC,dgcnn,softmax,scan,0,f1_class::Unaffected,0.9082652134423251,1259,1259
XSB_fix_FC,dgcnn,softmax,scan,0,f1_class::Affected,0.36075949367088606,1259,1259
XSB_fix_FC,pointnet2,softmax,scan,0,accuracy,0.7212073073868149,1259,1259
XSB_fix_FC,pointnet2,softmax,scan,0,macro_f1,0.5386289865391823,1259,1259
XSB_fix_FC,pointnet2,softmax,scan,0,macro_auc,0.7036199095022625,1259,1259
XSB_fix_FC,pointnet2,softmax,scan,0,f1_class::Unaffected,0.8288639687957094,1259,1259
XSB_fix_FC,pointnet2,softmax,scan,0,f1_class::Affected,0.24839400428265523,1259,1259
XSB_fix_FC,pointnet2,softmax,scan,1,accuracy,0.7188244638602065,1259,1259
XSB_fix_FC,pointnet2,softmax,scan,1,macro_f1,0.5369784740691489,1259,1259
XSB_fix_FC,pointnet2,softmax,scan,1,macro_auc,0.6848678970291661,1259,1259
XSB_fix_FC,pointnet2,softmax,scan,1,f1_class::Unaffected,0.8271484375,1259,1259
XSB_fix_FC,pointnet2,softmax,scan,1,f1_class::Affected,0.24680851063829787,1259,1259
XSB_fix_FC,pointnet2,softmax,scan,2,accuracy,0.7204130262112788,1259,1259
XSB_fix_FC,pointnet2,softmax,scan,2,macro_f1,0.5410971386914525,1259,1259
XSB_fix_FC,pointnet2,softmax,scan,2,macro_auc,0.6917908044808243,1259,1259
XSB_fix_FC,pointnet2,softmax,scan,2,f1_class::Unaffected,0.8279569892473119,1259,1259
XSB_fix_FC,pointnet2,softmax,scan,2,f1_class::Affected,0.2542372881355932,1259,1259
XSB_fix_FC,pointnet2,softmax,scan,3,accuracy,0.7220015885623511,1259,1259
XSB_fix_FC,pointnet2,softmax,scan,3,macro_f1,0.5329524738203247,1259,1259
