task,encoder,head,level,metric,seed,value
B2_scanlevel,pointnet2,softmax,scan,accuracy,0,0.5245283018867924
B2_scanlevel,pointnet2,softmax,scan,macro_f1,0,0.49150501216581655
B2_scanlevel,pointnet2,softmax,scan,macro_auc,0,0.9286909753440059
B2_scanlevel,pointnet2,softmax,scan,accuracy,1,0.5075471698113208
B2_scanlevel,pointnet2,softmax,scan,macro_f1,1,0.45940399845350427
B2_scanlevel,pointnet2,softmax,scan,macro_auc,1,0.9275368180026187
B2_scanlevel,pointnet2,softmax,scan,accuracy,2,0.5113207547169811
B2_scanlevel,pointnet2,softmax,scan,macro_f1,2,0.48257280261437685
B2_scanlevel,pointnet2,softmax,scan,macro_auc,2,0.9271072694453203
B2_scanlevel,pointnet2,softmax,scan,accuracy,3,0.5037735849056604
B2_scanlevel,pointnet2,softmax,scan,macro_f1,3,0.46723210217933353
B2_scanlevel,pointnet2,softmax,scan,macro_auc,3,0.9279760626001797
B2_scanlevel,pointnet2,softmax,scan,accuracy,4,0.5132075471698113
B2_scanlevel,pointnet2,softmax,scan,macro_f1,4,0.46809370541725315
B2_scanlevel,pointnet2,softmax,scan,macro_auc,4,0.9256864448524795
B1_scanlevel,pointnet2,softmax,scan,accuracy,0,0.34365325077399383
B1_scanlevel,pointnet2,softmax,scan,macro_f1,0,0.3365472485773456
B1_scanlevel,pointnet2,softmax,scan,macro_auc,0,0.8212436796784319
B1_scanlevel,pointnet2,softmax,scan,accuracy,1,0.3323013415892673
B1_scanlevel,pointnet2,softmax,scan,macro_f1,1,0.31716345436225657
B1_scanlevel,pointnet2,softmax,scan,macro_auc,1,0.8156374633640483
B1_scanlevel,pointnet2,softmax,scan,accuracy,2,0.3369453044375645
B1_scanlevel,pointnet2,softmax,scan,macro_f1,2,0.3181182538995285
B1_scanlevel,pointnet2,softmax,scan,macro_auc,2,0.8183346069715236
B1_scanlevel,pointnet2,softmax,scan,accuracy,3,0.34055727554179566
B1_scanlevel,pointnet2,softmax,scan,macro_f1,3,0.32308399449128017
B1_scanlevel,pointnet2,softmax,scan,macro_auc,3,0.8205986343824967
B1_scanlevel,pointnet2,softmax,scan,accuracy,4,0.3369453044375645
B1_scanlevel,pointnet2,softmax,scan,macro_f1,4,0.3167712893791554
B1_scanlevel,pointnet2,softmax,scan,macro_auc,4,0.8194395659649537
C_scanlevel,pointnet2,softmax,scan,accuracy,0,0.9054200542005421
C_scanlevel,pointnet2,softmax,scan,macro_f1,0,0.9025524064291304
C_scanlevel,pointnet2,softmax,scan,macro_auc,0,0.9638396320338543
C_scanlevel,pointnet2,softmax,scan,accuracy,1,0.9035230352303523
C_scanlevel,pointnet2,softmax,scan,macro_f1,1,0.9005883392825142
C_scanlevel,pointnet2,softmax,scan,macro_auc,1,0.9627308054785453
C_scanlevel,pointnet2,softmax,scan,accuracy,2,0.9086720867208672
C_scanlevel,pointnet2,softmax,scan,macro_f1,2,0.9058668552665334
C_scanlevel,pointnet2,softmax,scan,macro_auc,2,0.9649353229804606
C_scanlevel,pointnet2,softmax,scan,accuracy,3,0.9062330623306233
C_scanlevel,pointnet2,softmax,scan,macro_f1,3,0.9032303541110842
C_scanlevel,pointnet2,softmax,scan,macro_auc,3,0.963458850365487
C_scanlevel,pointnet2,softmax,scan,accuracy,4,0.9043360433604336
C_scanlevel,pointnet2,softmax,scan,macro_f1,4,0.9012433270802174
C_scanlevel,pointnet2,softmax,scan,macro_auc,4,0.9632624201709803
