base_task,encoder,head,level,metric,train_seed,value,infer_seed_sd,n_infer_seeds
B1_scanlevel,pointnet2,softmax,scan,accuracy,1,0.3644994840041279,0.005682986543759877,5
B1_scanlevel,pointnet2,softmax,scan,accuracy,2,0.3720330237358101,0.005029305647476249,5
B1_scanlevel,pointnet2,softmax,scan,accuracy,3,0.3163054695562435,0.005497233166321599,5
B1_scanlevel,pointnet2,softmax,scan,accuracy,4,0.3614035087719298,0.00416968087736572,5
B1_scanlevel,pointnet2,softmax,scan,accuracy,5,0.27822497420020637,0.004118280689212584,5
B1_scanlevel,pointnet2,softmax,scan,macro_auc,1,0.8226084420110317,0.002905678390611505,5
B1_scanlevel,pointnet2,softmax,scan,macro_auc,2,0.8204242912347584,0.0020709106380202,5
B1_scanlevel,pointnet2,softmax,scan,macro_auc,3,0.8176641308096151,0.0018979651203924388,5
B1_scanlevel,pointnet2,softmax,scan,macro_auc,4,0.8204346387496908,0.0014216357170578097,5
B1_scanlevel,pointnet2,softmax,scan,macro_auc,5,0.8039238087076803,0.001699680655933377,5
B1_scanlevel,pointnet2,softmax,scan,macro_f1,1,0.34732099698386787,0.0037030546743614732,5
B1_scanlevel,pointnet2,softmax,scan,macro_f1,2,0.34734842940288085,0.007469803751664378,5
B1_scanlevel,pointnet2,softmax,scan,macro_f1,3,0.2943564869738208,0.004800508347800856,5
B1_scanlevel,pointnet2,softmax,scan,macro_f1,4,0.3449766276717502,0.0042544107675776535,5
B1_scanlevel,pointnet2,softmax,scan,macro_f1,5,0.25866467660096976,0.003362453628102111,5
B2_scanlevel,pointnet2,softmax,scan,accuracy,1,0.540377358490566,0.01212548604759217,5
B2_scanlevel,pointnet2,softmax,scan,accuracy,2,0.5316981132075471,0.00617185933350797,5
B2_scanlevel,pointnet2,softmax,scan,accuracy,3,0.4649056603773585,0.011523344516681093,5
B2_scanlevel,pointnet2,softmax,scan,accuracy,4,0.5298113207547169,0.013434704240692751,5
B2_scanlevel,pointnet2,softmax,scan,accuracy,5,0.549811320754717,0.014772512551745946,5
B2_scanlevel,pointnet2,softmax,scan,macro_auc,1,0.9337074732652828,0.0012358129469347895,5
B2_scanlevel,pointnet2,softmax,scan,macro_auc,2,0.9289698824279553,0.0010664079486773033,5
B2_scanlevel,pointnet2,softmax,scan,macro_auc,3,0.930346305559528,0.0016836369322313872,5
B2_scanlevel,pointnet2,softmax,scan,macro_auc,4,0.9365041096226954,0.0014426454061124022,5
B2_scanlevel,pointnet2,softmax,scan,macro_auc,5,0.9343367517844173,0.0019272145346345515,5
B2_scanlevel,pointnet2,softmax,scan,macro_f1,1,0.4865946230999854,0.014935474956123037,5
B2_scanlevel,pointnet2,softmax,scan,macro_f1,2,0.48077078693979314,0.006432058442142862,5
B2_scanlevel,pointnet2,softmax,scan,macro_f1,3,0.4287656494909302,0.012731935906878268,5
B2_scanlevel,pointnet2,softmax,scan,macro_f1,4,0.4922737396688405,0.01353733245328518,5
B2_scanlevel,pointnet2,softmax,scan,macro_f1,5,0.5059165363745657,0.013620705099396058,5
