task,encoder,head,level,metric,n_seeds,mean,seed_sd,seed_min,seed_max,seed_deterministic,boot_mean,boot_ci_lo,boot_ci_hi,n_boot,n_subjects,n_units
B1_corrected,geommlp,softmax,scan,accuracy,1,0.11467391304347826,0.0,0.11467391304347826,0.11467391304347826,True,0.11444409382320878,0.09569914484702627,0.13355065142343495,2000,733,1840
B1_corrected,geommlp,softmax,scan,macro_f1,1,0.10251476549927287,0.0,0.10251476549927287,0.10251476549927287,True,0.10039654448730888,0.08236307249452536,0.1200264207722453,2000,733,1840
B1_corrected,geommlp,softmax,scan,macro_auc,1,0.6495292255770928,0.0,0.6495292255770928,0.6495292255770928,True,0.6487713700627303,0.6225847808388084,0.6747654751845298,2000,733,1840
B1_corrected,geommlp,softmax,subject,accuracy,1,0.12278308321964529,0.0,0.12278308321964529,0.12278308321964529,True,0.12281855388813097,0.09959072305593451,0.14597544338335608,2000,733,733
B1_corrected,geommlp,softmax,subject,macro_f1,1,0.1070927689299878,0.0,0.1070927689299878,0.1070927689299878,True,0.1056847226128793,0.08421631852412495,0.12811302538336256,2000,733,733
B1_corrected,geommlp,softmax,subject,macro_auc,1,0.6515052578709298,0.0,0.6515052578709298,0.6515052578709298,True,0.6516431677213533,0.6207649867222422,0.682338703159046,2000,733,733
B1_corrected,geommlp,proto,scan,accuracy,1,0.09456521739130434,0.0,0.09456521739130434,0.09456521739130434,True,0.0943768663066067,0.07640184539378088,0.11303214114744549,2000,733,1840
B1_corrected,geommlp,proto,scan,macro_f1,1,0.07676167632448916,0.0,0.07676167632448916,0.07676167632448916,True,0.07575368706510173,0.05960875965573706,0.09166801002789574,2000,733,1840
B1_corrected,geommlp,proto,scan,macro_auc,1,0.6355508149241372,0.0,0.6355508149241372,0.6355508149241372,True,0.6350391379182292,0.6111142788630393,0.6594473197020551,2000,733,1840
B1_corrected,geommlp,proto,subject,accuracy,1,0.1145975443383356,0.0,0.1145975443383356,0.1145975443383356,True,0.11464938608458392,0.09140518417462483,0.1377899045020464,2000,733,733
B1_corrected,geommlp,proto,subject,macro_f1,1,0.10335513413621486,0.0,0.10335513413621486,0.10335513413621486,True,0.10194365834490096,0.07935056612987525,0.126311632031749,2000,733,733
B1_corrected,geommlp,proto,subject,macro_auc,1,0.6413887081298146,0.0,0.6413887081298146,0.6413887081298146,True,0.6416172083286656,0.6131756636229087,0.6703189724761827,2000,733,733
B1_corrected,geommlp,knn11,scan,accuracy,1,0.21467391304347827,0.0,0.21467391304347827,0.21467391304347827,True,0.21508269904110425,0.19107806028363603,0.2394525955299207,2000,733,1840
B1_corrected,geommlp,knn11,scan,macro_f1,1,0.1066099607093918,0.0,0.1066099607093918,0.1066099607093918,True,0.10466160291816518,0.08271897150689135,0.12815609320148394,2000,733,1840
B1_corrected,geommlp,knn11,scan,macro_auc,1,0.597755176036891,0.0,0.597755176036891,0.597755176036891,True,0.5978933852445332,0.5726891470407258,0.6230731051657271,2000,733,1840
B1_corrected,geommlp,knn11,subject,accuracy,1,0.2155525238744884,0.0,0.2155525238744884,0.2155525238744884,True,0.21567326057298772,0.1855388813096862,0.24556616643929058,2000,733,733
B1_corrected,geommlp,knn11,subject,macro_f1,1,0.09689474767378735,0.0,0.09689474767378735,0.09689474767378735,True,0.0951307159192597,0.07119535786527646,0.12072334140600946,2000,733,733
B1_corrected,geommlp,knn11,subject,macro_auc,1,0.6105832580398209,0.0,0.6105832580398209,0.6105832580398209,True,0.6109644788415416,0.5825467436730715,0.6393929027611364,2000,733,733
B1_corrected,pointnet,softmax,scan,accuracy,1,0.1233695652173913,0.0,0.1233695652173913,0.1233695652173913,True,0.12332272909055522,0.10380103178702225,0.14269986367398607,2000,733,1840
B1_corrected,pointnet,softmax,scan,macro_f1,1,0.10700588271520488,0.0,0.10700588271520488,0.10700588271520488,True,0.10516632381849401,0.08689959809527134,0.12413856579889944,2000,733,1840
B1_corrected,pointnet,softmax,scan,macro_auc,1,0.6940092588914348,0.0,0.6940092588914348,0.6940092588914348,True,0.6940707245569309,0.6715788413159286,0.7169280048620351,2000,733,1840
B1_corrected,pointnet,softmax,subject,accuracy,1,0.15961800818553887,0.0,0.15961800818553887,0.15961800818553887,True,0.15925170532060026,0.13369713506139155,0.1869031377899045,2000,733,733
B1_corrected,pointnet,softmax,subject,macro_f1,1,0.13535073001751896,0.0,0.13535073001751896,0.13535073001751896,True,0.1326744467101871,0.10516363801856247,0.16119230716830582,2000,733,733
B1_corrected,pointnet,softmax,subject,macro_auc,1,0.7204116974585583,0.0,0.7204116974585583,0.7204116974585583,True,0.7203464159722379,0.6907480259144931,0.7475684078024386,2000,733,733
B1_corrected,pointnet,proto,scan,accuracy,1,0.09945652173913043,0.0,0.09945652173913043,0.09945652173913043,True,0.09936236034502105,0.08182600155233491,0.11706074101280932,2000,733,1840
B1_corrected,pointnet,proto,scan,macro_f1,1,0.09536360368353919,0.0,0.09536360368353919,0.09536360368353919,True,0.09396117294867719,0.07666424185452916,0.11115033601784069,2000,733,1840
B1_corrected,pointnet,proto,scan,macro_auc,1,0.676740056349567,0.0,0.676740056349567,0.676740056349567,True,0.6776251395771471,0.6521375452092371,0.7017351808759014,2000,733,1840
B1_corrected,pointnet,proto,subject,accuracy,1,0.1364256480218281,0.0,0.1364256480218281,0.1364256480218281,True,0.13615552523874488,0.11186903137789904,0.16234652114597545,2000,733,733
B1_corrected,pointnet,proto,subject,macro_f1,1,0.1369430423555307,0.0,0.1369430423555307,0.1369430423555307,True,0.1344456870804532,0.10821333494470124,0.16113582174783475,2000,733,733
B1_corrected,pointnet,proto,subject,macro_auc,1,0.710362900116416,0.0,0.710362900116416,0.710362900116416,True,0.7103324318748911,0.6823370446962501,0.736482066112609,2000,733,733
B1_corrected,pointnet,knn11,scan,accuracy,1,0.2108695652173913,0.0,0.2108695652173913,0.2108695652173913,True,0.21135138498396383,0.18749833599574015,0.23508093615210696,2000,733,1840
B1_corrected,pointnet,knn11,scan,macro_f1,1,0.13774291484673276,0.0,0.13774291484673276,0.13774291484673276,True,0.1353552627533223,0.10920786602509845,0.16309286899267603,2000,733,1840
B1_corrected,pointnet,knn11,scan,macro_auc,1,0.6435049971255242,0.0,0.6435049971255242,0.6435049971255242,True,0.6437151713884757,0.6182085902316474,0.6676987449060556,2000,733,1840
B1_corrected,pointnet,knn11,subject,accuracy,1,0.22237380627557982,0.0,0.22237380627557982,0.22237380627557982,True,0.22282605729877217,0.19236016371077763,0.25102319236016374,2000,733,733
B1_corrected,pointnet,knn11,subject,macro_f1,1,0.14896550360969105,0.0,0.14896550360969105,0.14896550360969105,True,0.146041982113455,0.11386040319975461,0.18025222224106946,2000,733,733
B1_corrected,pointnet,knn11,subject,macro_auc,1,0.6671934391423413,0.0,0.6671934391423413,0.6671934391423413,True,0.6669379184571904,0.6388204579751801,0.6943915872432577,2000,733,733
B1_corrected,dgcnn,softmax,scan,accuracy,1,0.1934782608695652,0.0,0.1934782608695652,0.1934782608695652,True,0.1932244728748553,0.1698199886509201,0.21859539957830715,2000,733,1840
B1_corrected,dgcnn,softmax,scan,macro_f1,1,0.1693508458257579,0.0,0.1693508458257579,0.1693508458257579,True,0.16600572874673053,0.14183060163186045,0.19133599101145632,2000,733,1840
B1_corrected,dgcnn,softmax,scan,macro_auc,1,0.7812840341888926,0.0,0.7812840341888926,0.7812840341888926,True,0.7821264955094217,0.7586789827938942,0.8045401290484601,2000,733,1840
B1_corrected,dgcnn,softmax,subject,accuracy,1,0.252387448840382,0.0,0.252387448840382,0.252387448840382,True,0.2522428376534789,0.22100954979536153,0.28512960436562074,2000,733,733
B1_corrected,dgcnn,softmax,subject,macro_f1,1,0.21709700740614335,0.0,0.21709700740614335,0.21709700740614335,True,0.21312050554256684,0.17598335556837771,0.24896063978184313,2000,733,733
B1_corrected,dgcnn,softmax,subject,macro_auc,1,0.8128047431499528,0.0,0.8128047431499528,0.8128047431499528,True,0.8125826014877676,0.7889515190538121,0.833981700562117,2000,733,733
B1_corrected,dgcnn,proto,scan,accuracy,1,0.20815217391304347,0.0,0.20815217391304347,0.20815217391304347,True,0.20767393808136703,0.18279440237872974,0.23264325655363463,2000,733,1840
B1_corrected,dgcnn,proto,scan,macro_f1,1,0.18849035042765633,0.0,0.18849035042765633,0.18849035042765633,True,0.18546049033317377,0.1611325671780095,0.21002515760330828,2000,733,1840
B1_corrected,dgcnn,proto,scan,macro_auc,1,0.7615701337942375,0.0,0.7615701337942375,0.7615701337942375,True,0.762572831411062,0.7388780642738666,0.7856794617873014,2000,733,1840
B1_corrected,dgcnn,proto,subject,accuracy,1,0.2578444747612551,0.0,0.2578444747612551,0.2578444747612551,True,0.2574045020463847,0.22646657571623466,0.2892223738062756,2000,733,733
B1_corrected,dgcnn,proto,subject,macro_f1,1,0.23406887449908448,0.0,0.23406887449908448,0.23406887449908448,True,0.23056721227023194,0.19848007508662951,0.2645354651647709,2000,733,733
B1_corrected,dgcnn,proto,subject,macro_auc,1,0.7944331411495464,0.0,0.7944331411495464,0.7944331411495464,True,0.7942977056144351,0.7723199207354245,0.8147108009216986,2000,733,733
B1_corrected,dgcnn,knn11,scan,accuracy,1,0.2728260869565217,0.0,0.2728260869565217,0.2728260869565217,True,0.27305196622346434,0.24632594418838544,0.30028226010232384,2000,733,1840
B1_corrected,dgcnn,knn11,scan,macro_f1,1,0.18637635867625738,0.0,0.18637635867625738,0.18637635867625738,True,0.18358815091413616,0.15319747370394782,0.2151733662803694,2000,733,1840
