task,encoder,head,level,metric,n_seeds,mean,seed_sd,seed_min,seed_max,seed_deterministic,boot_mean,boot_ci_lo,boot_ci_hi,n_boot,n_subjects,n_units
A1_ts1,geommlp,softmax,scan,accuracy,1,0.5743440233236151,0.0,0.5743440233236151,0.5743440233236151,True,0.5741516034985422,0.5441933916423712,0.6054421768707483,2000,1029,1029
A1_ts1,geommlp,softmax,scan,macro_f1,1,0.2731530606294574,0.0,0.2731530606294574,0.2731530606294574,True,0.2726411462020452,0.2466313097705562,0.3021422978197317,2000,1029,1029
A1_ts1,geommlp,softmax,scan,macro_auc,1,0.5781841300336256,0.0,0.5781841300336256,0.5781841300336256,True,0.5782013372053322,0.5321622352173988,0.623677469066933,2000,1029,1029
A1_ts1,pointnet,softmax,scan,accuracy,1,0.7055393586005831,0.0,0.7055393586005831,0.7055393586005831,True,0.7057026239067057,0.6763848396501457,0.7327502429543246,2000,1029,1029
A1_ts1,pointnet,softmax,scan,macro_f1,1,0.2401794421689096,0.0,0.2401794421689096,0.2401794421689096,True,0.2399516270566021,0.2252795744230412,0.2556749822711364,2000,1029,1029
A1_ts1,pointnet,softmax,scan,macro_auc,1,0.5042820764800162,0.0,0.5042820764800162,0.5042820764800162,True,0.5039442326192357,0.465873402672321,0.5406035155645541,2000,1029,1029
A1_ts1,dgcnn,softmax,scan,accuracy,1,0.8007774538386784,0.0,0.8007774538386784,0.8007774538386784,True,0.8008833819241984,0.7755102040816326,0.8250971817298346,2000,1029,1029
A1_ts1,dgcnn,softmax,scan,macro_f1,1,0.2457635022671181,0.0,0.2457635022671181,0.2457635022671181,True,0.2457331016023149,0.2298728882564492,0.263520598846694,2000,1029,1029
A1_ts1,dgcnn,softmax,scan,macro_auc,1,0.5032794066256552,0.0,0.5032794066256552,0.5032794066256552,True,0.5029966439441835,0.4560155400085392,0.5468691645720816,2000,1029,1029
A1_ts1,pointnet2,softmax,scan,accuracy,5,0.681438289601555,0.0101087686094817,0.6705539358600583,0.6967930029154519,False,0.681508260447036,0.6565597667638483,0.7065160349854228,2000,1029,1029
A1_ts1,pointnet2,softmax,scan,macro_f1,5,0.2487866960488723,0.0080174303095852,0.2404825137978934,0.2611423287573796,False,0.2487464824774544,0.2357583932081582,0.2613053334744351,2000,1029,1029
A1_ts1,pointnet2,softmax,scan,macro_auc,5,0.5085899539099336,0.0082583154629837,0.501011361834322,0.5212896436789344,False,0.5085395905792858,0.4728588472809132,0.5422548653123285,2000,1029,1029
A1_ts2,geommlp,softmax,scan,accuracy,1,0.6355685131195336,0.0,0.6355685131195336,0.6355685131195336,True,0.635547619047619,0.6073858114674441,0.6647473275024294,2000,1029,1029
A1_ts2,geommlp,softmax,scan,macro_f1,1,0.275589935519126,0.0,0.275589935519126,0.275589935519126,True,0.2750887144867533,0.2472447964462294,0.3054628759800469,2000,1029,1029
A1_ts2,geommlp,softmax,scan,macro_auc,1,0.6061899771461129,0.0,0.6061899771461129,0.6061899771461129,True,0.6062003941935359,0.5631766627544318,0.6500180956397124,2000,1029,1029
A1_ts2,pointnet,softmax,scan,accuracy,1,0.7959183673469388,0.0,0.7959183673469388,0.7959183673469388,True,0.7959441205053449,0.7706511175898931,0.8211856171039844,2000,1029,1029
A1_ts2,pointnet,softmax,scan,macro_f1,1,0.2282720010923738,0.0,0.2282720010923738,0.2282720010923738,True,0.2281127621157847,0.2199095230355798,0.2392001387962758,2000,1029,1029
A1_ts2,pointnet,softmax,scan,macro_auc,1,0.5005889420338898,0.0,0.5005889420338898,0.5005889420338898,True,0.4996042240374446,0.4589625516698029,0.5400644621779779,2000,1029,1029
A1_ts2,dgcnn,softmax,scan,accuracy,1,0.6219630709426628,0.0,0.6219630709426628,0.6219630709426628,True,0.6217035957240039,0.5918124392614188,0.6511175898931001,2000,1029,1029
A1_ts2,dgcnn,softmax,scan,macro_f1,1,0.2564244997212654,0.0,0.2564244997212654,0.2564244997212654,True,0.2561521097568211,0.2338164728603164,0.2811717023063174,2000,1029,1029
A1_ts2,dgcnn,softmax,scan,macro_auc,1,0.5686158709401933,0.0,0.5686158709401933,0.5686158709401933,True,0.5682772658875624,0.529301300959703,0.6073538917574905,2000,1029,1029
A1_ts2,pointnet2,softmax,scan,accuracy,5,0.6866861030126337,0.0094371416025735,0.673469387755102,0.6987366375121478,False,0.6869380952380952,0.6579203109815355,0.7135082604470359,2000,1029,1029
A1_ts2,pointnet2,softmax,scan,macro_f1,5,0.2317324446414771,0.0081499985019312,0.2221130971867566,0.2410266624541546,False,0.2318624876963588,0.220485834757337,0.2436876548334536,2000,1029,1029
A1_ts2,pointnet2,softmax,scan,macro_auc,5,0.4752102411683198,0.0072847754170395,0.4644859150044438,0.4841269744449634,False,0.475253212826173,0.4330750717622165,0.5160784691648922,2000,1029,1029
A1_ts3,geommlp,softmax,scan,accuracy,1,0.5568513119533528,0.0,0.5568513119533528,0.5568513119533528,True,0.5566588921282799,0.5247813411078717,0.5879494655004859,2000,1029,1029
A1_ts3,geommlp,softmax,scan,macro_f1,1,0.2550364110109983,0.0,0.2550364110109983,0.2550364110109983,True,0.2542866524554771,0.2284169043381053,0.2822371686087096,2000,1029,1029
A1_ts3,geommlp,softmax,scan,macro_auc,1,0.577400076274474,0.0,0.577400076274474,0.577400076274474,True,0.5775951719730928,0.5326063213574306,0.6230689007167224,2000,1029,1029
A1_ts3,pointnet,softmax,scan,accuracy,1,0.6219630709426628,0.0,0.6219630709426628,0.6219630709426628,True,0.6222113702623907,0.5928085519922255,0.6511175898931001,2000,1029,1029
A1_ts3,pointnet,softmax,scan,macro_f1,1,0.2307989289494987,0.0,0.2307989289494987,0.2307989289494987,True,0.2307791137263898,0.2165974033973839,0.2457597234761049,2000,1029,1029
A1_ts3,pointnet,softmax,scan,macro_auc,1,0.4914157474893528,0.0,0.4914157474893528,0.4914157474893528,True,0.49159793897664,0.4468247300114976,0.5378217950239808,2000,1029,1029
A1_ts3,dgcnn,softmax,scan,accuracy,1,0.6482021379980564,0.0,0.6482021379980564,0.6482021379980564,True,0.6480918367346938,0.6180758017492711,0.6754373177842564,2000,1029,1029
A1_ts3,dgcnn,softmax,scan,macro_f1,1,0.2431634339616812,0.0,0.2431634339616812,0.2431634339616812,True,0.2432141171798224,0.2208535025181287,0.2686302734451251,2000,1029,1029
A1_ts3,dgcnn,softmax,scan,macro_auc,1,0.5063084964045563,0.0,0.5063084964045563,0.5063084964045563,True,0.5054023264300674,0.4642085038987091,0.5492883639035134,2000,1029,1029
A1_ts3,pointnet2,softmax,scan,accuracy,5,0.7636540330417881,0.0056415647322448,0.7599611273080661,0.7735665694849369,False,0.763797084548105,0.7383867832847425,0.7881486880466473,2000,1029,1029
A1_ts3,pointnet2,softmax,scan,macro_f1,5,0.245855579487844,0.0057864113063068,0.2388321585843024,0.2548082144175843,False,0.2457467589671083,0.2341093666909637,0.2590707227399297,2000,1029,1029
A1_ts3,pointnet2,softmax,scan,macro_auc,5,0.5258715448832908,0.0197533316139078,0.502832762994348,0.5503401562880421,False,0.5259582012248456,0.4928638787735642,0.5590672981871999,2000,1029,1029
A1_ts4,geommlp,softmax,scan,accuracy,1,0.5821185617103984,0.0,0.5821185617103984,0.5821185617103984,True,0.5820121477162293,0.5510204081632653,0.6122448979591837,2000,1029,1029
A1_ts4,geommlp,softmax,scan,macro_f1,1,0.2757802449545852,0.0,0.2757802449545852,0.2757802449545852,True,0.2754369002832151,0.2480807205726369,0.3058404044144013,2000,1029,1029
A1_ts4,geommlp,softmax,scan,macro_auc,1,0.59481536869334,0.0,0.59481536869334,0.59481536869334,True,0.5949674172136286,0.5492848708545582,0.6410227348645305,2000,1029,1029
A1_ts4,pointnet,softmax,scan,accuracy,1,0.7793974732750243,0.0,0.7793974732750243,0.7793974732750243,True,0.7797492711370262,0.7541302235179786,0.8046647230320699,2000,1029,1029
A1_ts4,pointnet,softmax,scan,macro_f1,1,0.2410735236307454,0.0,0.2410735236307454,0.2410735236307454,True,0.2411669040172918,0.2268437689183735,0.256904937389702,2000,1029,1029
A1_ts4,pointnet,softmax,scan,macro_auc,1,0.523483620659425,0.0,0.523483620659425,0.523483620659425,True,0.5246229924884581,0.4811355939257314,0.5647539204797508,2000,1029,1029
A1_ts4,dgcnn,softmax,scan,accuracy,1,0.7035957240038873,0.0,0.7035957240038873,0.7035957240038873,True,0.703874149659864,0.67444120505345,0.7317784256559767,2000,1029,1029
A1_ts4,dgcnn,softmax,scan,macro_f1,1,0.2822967839924865,0.0,0.2822967839924865,0.2822967839924865,True,0.2817202617558694,0.2549523534426839,0.3124930152699218,2000,1029,1029
