task,encoder,head,level,metric,n_seeds,mean,seed_sd,seed_min,seed_max,seed_deterministic,boot_mean,boot_ci_lo,boot_ci_hi,n_boot,n_subjects,n_units
XSB_fix_PH,geommlp,softmax,scan,accuracy,1,0.6775510204081633,0.0,0.6775510204081633,0.6775510204081633,True,0.6772398326199247,0.6550976393620235,0.6978088570803512,2000,1959,1960
XSB_fix_PH,geommlp,softmax,scan,macro_f1,1,0.5757808219178082,0.0,0.5757808219178082,0.5757808219178082,True,0.5754752281780829,0.552448375088893,0.5995781769624124,2000,1959,1960
XSB_fix_PH,geommlp,softmax,scan,macro_auc,1,0.6253904623073719,0.0,0.6253904623073719,0.6253904623073719,True,0.6251324354917931,0.5940940158485801,0.6574666850289522,2000,1959,1960
XSB_fix_PH,pointnet,softmax,scan,accuracy,1,0.6637755102040817,0.0,0.6637755102040817,0.6637755102040817,True,0.6637841677113632,0.6428535022571721,0.6850433894844309,2000,1959,1960
XSB_fix_PH,pointnet,softmax,scan,macro_f1,1,0.5930703116557675,0.0,0.5930703116557675,0.5930703116557675,True,0.5931190236712346,0.5705076969046293,0.6164520803788657,2000,1959,1960
XSB_fix_PH,pointnet,softmax,scan,macro_auc,1,0.6992984693877551,0.0,0.6992984693877551,0.6992984693877551,True,0.6992295888255403,0.6706445181649923,0.7274779838768441,2000,1959,1960
XSB_fix_PH,dgcnn,softmax,scan,accuracy,1,0.8229591836734694,0.0,0.8229591836734694,0.8229591836734694,True,0.8224844148839374,0.8046889927567151,0.8392877631674801,2000,1959,1960
XSB_fix_PH,dgcnn,softmax,scan,macro_f1,1,0.7012561281103962,0.0,0.7012561281103962,0.7012561281103962,True,0.7003654604970004,0.6734145807969182,0.7259246906087011,2000,1959,1960
XSB_fix_PH,dgcnn,softmax,scan,macro_auc,1,0.810939777696793,0.0,0.810939777696793,0.810939777696793,True,0.8107637143482902,0.7870424247127553,0.8338768067705611,2000,1959,1960
XSB_fix_PH,pointnet2,softmax,scan,accuracy,5,0.7433673469387755,0.0044624631848305864,0.7387755102040816,0.75,False,0.7431689812204686,0.7261852204894208,0.7598805513016845,2000,1959,1960
XSB_fix_PH,pointnet2,softmax,scan,macro_f1,5,0.654217632195141,0.007902497510482085,0.6483274950202624,0.6662120700273453,False,0.6540613673002585,0.6325485061974998,0.6746770554475074,2000,1959,1960
XSB_fix_PH,pointnet2,softmax,scan,macro_auc,5,0.7533257627030404,0.004236317569072063,0.7459432593190338,0.7563653490733029,False,0.7533332841478514,0.7273274953465222,0.7790052602241515,2000,1959,1960
XSB_fix_FC,geommlp,softmax,scan,accuracy,1,0.675933280381255,0.0,0.675933280381255,0.675933280381255,True,0.6758808578236697,0.6497220015885623,0.7013502779984114,2000,1259,1259
XSB_fix_FC,geommlp,softmax,scan,macro_f1,1,0.498406374501992,0.0,0.498406374501992,0.498406374501992,True,0.49818874970104243,0.4708566686065155,0.5265264772142709,2000,1259,1259
XSB_fix_FC,geommlp,softmax,scan,macro_auc,1,0.6425339366515838,0.0,0.6425339366515838,0.6425339366515838,True,0.6431638263414002,0.5869574374707155,0.6954067850680954,2000,1259,1259
XSB_fix_FC,pointnet,softmax,scan,accuracy,1,0.7434471803018269,0.0,0.7434471803018269,0.7434471803018269,True,0.7432867355043685,0.7188244638602065,0.7665011914217632,2000,1259,1259
XSB_fix_FC,pointnet,softmax,scan,macro_f1,1,0.5479062186977833,0.0,0.5479062186977833,0.5479062186977833,True,0.5475484001138574,0.516512646217835,0.5777398992672594,2000,1259,1259
XSB_fix_FC,pointnet,softmax,scan,macro_auc,1,0.6743521955022286,0.0,0.6743521955022286,0.6743521955022286,True,0.6745203512635806,0.6099182288161553,0.7334282739086845,2000,1259,1259
XSB_fix_FC,dgcnn,softmax,scan,accuracy,1,0.8395552025416998,0.0,0.8395552025416998,0.8395552025416998,True,0.8392374900714854,0.8189038919777601,0.8594122319301033,2000,1259,1259
XSB_fix_FC,dgcnn,softmax,scan,macro_f1,1,0.6345123535566056,0.0,0.6345123535566056,0.6345123535566056,True,0.6339057139580989,0.5990474027200617,0.6711835977744088,2000,1259,1259
XSB_fix_FC,dgcnn,softmax,scan,macro_auc,1,0.8216991204433373,0.0,0.8216991204433373,0.8216991204433373,True,0.8216161992903775,0.7786530979459791,0.8606063468329137,2000,1259,1259
XSB_fix_FC,pointnet2,softmax,scan,accuracy,5,0.719936457505957,0.0019128823794745725,0.7172359015091342,0.7220015885623511,False,0.7197494837172359,0.6973749007148531,0.7412231930103257,2000,1259,1259
XSB_fix_FC,pointnet2,softmax,scan,macro_f1,5,0.5352417623656028,0.005690611572483149,0.5265517387079055,0.5410971386914525,False,0.5349431052935167,0.5078296976172019,0.5632748628945955,2000,1259,1259
XSB_fix_FC,pointnet2,softmax,scan,macro_auc,5,0.6915264290677378,0.008232167705244429,0.6830121849950006,0.7036199095022625,False,0.6920699161130567,0.6380832244097762,0.740181469397918,2000,1259,1259
XSB_fix_PR,geommlp,softmax,scan,accuracy,1,0.6774193548387096,0.0,0.6774193548387096,0.6774193548387096,True,0.678213921901528,0.6400679117147708,0.7164685908319185,2000,589,589
XSB_fix_PR,geommlp,softmax,scan,macro_f1,1,0.5907927453561503,0.0,0.5907927453561503,0.5907927453561503,True,0.591464097870316,0.5508406948172393,0.6348202596347045,2000,589,589
XSB_fix_PR,geommlp,softmax,scan,macro_auc,1,0.6475382512750425,0.0,0.6475382512750425,0.6475382512750425,True,0.6486721760844009,0.596122133482832,0.7027129790439876,2000,589,589
XSB_fix_PR,pointnet,softmax,scan,accuracy,1,0.634974533106961,0.0,0.634974533106961,0.634974533106961,True,0.6352088285229202,0.5959252971137521,0.6740237691001698,2000,589,589
