base_task,encoder,head,level,metric,train_seed,value,infer_seed_sd,n_infer_seeds,n_units,n_subjects
A1,dgcnn,softmax,scan,accuracy,1,0.8007774538386784,0.0,1,1029,1029
A1,dgcnn,softmax,scan,accuracy,2,0.6219630709426628,0.0,1,1029,1029
A1,dgcnn,softmax,scan,accuracy,3,0.6482021379980564,0.0,1,1029,1029
A1,dgcnn,softmax,scan,accuracy,4,0.7035957240038873,0.0,1,1029,1029
A1,dgcnn,softmax,scan,accuracy,5,0.6336248785228377,0.0,1,1029,1029
A1,dgcnn,softmax,scan,f1_class::Cleft Lip,1,0.0,0.0,1,1029,1029
A1,dgcnn,softmax,scan,f1_class::Cleft Lip,2,0.0,0.0,1,1029,1029
A1,dgcnn,softmax,scan,f1_class::Cleft Lip,3,0.0,0.0,1,1029,1029
A1,dgcnn,softmax,scan,f1_class::Cleft Lip,4,0.0689655172413793,0.0,1,1029,1029
A1,dgcnn,softmax,scan,f1_class::Cleft Lip,5,0.0,0.0,1,1029,1029
A1,dgcnn,softmax,scan,f1_class::Cleft Lip and Palate,1,0.0921052631578947,0.0,1,1029,1029
A1,dgcnn,softmax,scan,f1_class::Cleft Lip and Palate,2,0.2005141388174807,0.0,1,1029,1029
A1,dgcnn,softmax,scan,f1_class::Cleft Lip and Palate,3,0.1081081081081081,0.0,1,1029,1029
A1,dgcnn,softmax,scan,f1_class::Cleft Lip and Palate,4,0.2295081967213114,0.0,1,1029,1029
A1,dgcnn,softmax,scan,f1_class::Cleft Lip and Palate,5,0.2638888888888889,0.0,1,1029,1029
A1,dgcnn,softmax,scan,f1_class::Cleft Palate,1,0.0,0.0,1,1029,1029
A1,dgcnn,softmax,scan,f1_class::Cleft Palate,2,0.0512820512820512,0.0,1,1029,1029
A1,dgcnn,softmax,scan,f1_class::Cleft Palate,3,0.0689655172413793,0.0,1,1029,1029
A1,dgcnn,softmax,scan,f1_class::Cleft Palate,4,0.0,0.0,1,1029,1029
A1,dgcnn,softmax,scan,f1_class::Cleft Palate,5,0.0,0.0,1,1029,1029
A1,dgcnn,softmax,scan,f1_class::Unaffected,1,0.8909487459105779,0.0,1,1029,1029
A1,dgcnn,softmax,scan,f1_class::Unaffected,2,0.7739018087855297,0.0,1,1029,1029
A1,dgcnn,softmax,scan,f1_class::Unaffected,3,0.7955801104972375,0.0,1,1029,1029
A1,dgcnn,softmax,scan,f1_class::Unaffected,4,0.8307134220072552,0.0,1,1029,1029
A1,dgcnn,softmax,scan,f1_class::Unaffected,5,0.7752442996742671,0.0,1,1029,1029
A1,dgcnn,softmax,scan,macro_auc,1,0.5032794066256552,0.0,1,1029,1029
A1,dgcnn,softmax,scan,macro_auc,2,0.5686158709401933,0.0,1,1029,1029
A1,dgcnn,softmax,scan,macro_auc,3,0.5063084964045563,0.0,1,1029,1029
A1,dgcnn,softmax,scan,macro_auc,4,0.5967248245974297,0.0,1,1029,1029
A1,dgcnn,softmax,scan,macro_auc,5,0.5593488022212557,0.0,1,1029,1029
A1,dgcnn,softmax,scan,macro_f1,1,0.2457635022671181,0.0,1,1029,1029
A1,dgcnn,softmax,scan,macro_f1,2,0.2564244997212654,0.0,1,1029,1029
A1,dgcnn,softmax,scan,macro_f1,3,0.2431634339616812,0.0,1,1029,1029
A1,dgcnn,softmax,scan,macro_f1,4,0.2822967839924865,0.0,1,1029,1029
A1,dgcnn,softmax,scan,macro_f1,5,0.259783297140789,0.0,1,1029,1029
A1,geommlp,softmax,scan,accuracy,1,0.5743440233236151,0.0,1,1029,1029
A1,geommlp,softmax,scan,accuracy,2,0.6355685131195336,0.0,1,1029,1029
A1,geommlp,softmax,scan,accuracy,3,0.5568513119533528,0.0,1,1029,1029
A1,geommlp,softmax,scan,accuracy,4,0.5821185617103984,0.0,1,1029,1029
A1,geommlp,softmax,scan,accuracy,5,0.5860058309037901,0.0,1,1029,1029
A1,geommlp,softmax,scan,f1_class::Cleft Lip,1,0.0620155038759689,0.0,1,1029,1029
A1,geommlp,softmax,scan,f1_class::Cleft Lip,2,0.0879120879120879,0.0,1,1029,1029
A1,geommlp,softmax,scan,f1_class::Cleft Lip,3,0.0655737704918032,0.0,1,1029,1029
A1,geommlp,softmax,scan,f1_class::Cleft Lip,4,0.0625,0.0,1,1029,1029
A1,geommlp,softmax,scan,f1_class::Cleft Lip,5,0.1098901098901098,0.0,1,1029,1029
A1,geommlp,softmax,scan,f1_class::Cleft Lip and Palate,1,0.2291021671826625,0.0,1,1029,1029
A1,geommlp,softmax,scan,f1_class::Cleft Lip and Palate,2,0.131578947368421,0.0,1,1029,1029
A1,geommlp,softmax,scan,f1_class::Cleft Lip and Palate,3,0.1813471502590673,0.0,1,1029,1029
A1,geommlp,softmax,scan,f1_class::Cleft Lip and Palate,4,0.2156862745098039,0.0,1,1029,1029
A1,geommlp,softmax,scan,f1_class::Cleft Lip and Palate,5,0.2387267904509283,0.0,1,1029,1029
A1,geommlp,softmax,scan,f1_class::Cleft Palate,1,0.0601503759398496,0.0,1,1029,1029
A1,geommlp,softmax,scan,f1_class::Cleft Palate,2,0.0864197530864197,0.0,1,1029,1029
A1,geommlp,softmax,scan,f1_class::Cleft Palate,3,0.0454545454545454,0.0,1,1029,1029
A1,geommlp,softmax,scan,f1_class::Cleft Palate,4,0.0747663551401869,0.0,1,1029,1029
A1,geommlp,softmax,scan,f1_class::Cleft Palate,5,0.0930232558139534,0.0,1,1029,1029
