base_task,encoder,head,level,metric,train_seed_mean,train_seed_sd,train_seed_min,train_seed_max,n_train_seeds,infer_seed_sd,n_units,n_subjects,train_seed_range,boot_ci_lo,boot_ci_hi,boot_ci_width,legacy_value,legacy_ci_lo,legacy_ci_hi,legacy_z,legacy_inside_seed_range
A1,dgcnn,softmax,scan,accuracy,0.6816326530612244,0.07358781288578409,0.6219630709426628,0.8007774538386784,5,0.0,1029,1029,0.1788143828960156,0.6530563654033041,0.7096307094266278,0.05657434402332362,0.7677356656948494,0.7424684159378037,0.7949465500485908,1.170071636281211,True
A1,dgcnn,softmax,scan,f1_class::Cleft Lip,0.013793103448275858,0.030842316931031573,0.0,0.0689655172413793,5,0.0,1029,1029,0.0689655172413793,,,,,,,,False
A1,dgcnn,softmax,scan,f1_class::Cleft Lip and Palate,0.17882491913873677,0.07549215509279286,0.0921052631578947,0.2638888888888889,5,0.0,1029,1029,0.1717836257309942,,,,,,,,False
A1,dgcnn,softmax,scan,f1_class::Cleft Palate,0.0240495137046861,0.033519381725005355,0.0,0.0689655172413793,5,0.0,1029,1029,0.0689655172413793,,,,,,,,False
A1,dgcnn,softmax,scan,f1_class::Unaffected,0.8132776773749735,0.04910957340029125,0.7739018087855297,0.8909487459105779,5,0.0,1029,1029,0.11704693712504821,,,,,,,,False
A1,dgcnn,softmax,scan,macro_auc,0.546855480157818,0.04080282249424303,0.5032794066256552,0.5967248245974297,5,0.0,1029,1029,0.09344541797177452,0.5027678010105007,0.5901900628535097,0.08742226184300905,0.5509136999136456,0.5101888940375554,0.5911463077918703,0.09945929001357995,True
A1,dgcnn,softmax,scan,macro_f1,0.257486303416668,0.01552845943643292,0.2431634339616812,0.2822967839924865,5,0.0,1029,1029,0.039133350030805286,0.2366276925066016,0.28032088432697744,0.04369319182037584,0.2607658137016918,0.2385075839534784,0.2861308180678474,0.2111935378038449,True
A1,geommlp,softmax,scan,accuracy,0.586977648202138,0.02938040127858305,0.5568513119533528,0.6355685131195336,5,0.0,1029,1029,0.07871720116618075,0.5566472303206996,0.6171137026239066,0.06046647230320701,0.565597667638484,0.5364431486880467,0.597667638483965,-0.7276953218211863,True
A1,geommlp,softmax,scan,f1_class::Cleft Lip,0.07757829443399397,0.02100300403387443,0.0620155038759689,0.1098901098901098,5,0.0,1029,1029,0.047874606014140904,,,,,,,,False
A1,geommlp,softmax,scan,f1_class::Cleft Lip and Palate,0.1992882659541766,0.04364514881766893,0.131578947368421,0.2387267904509283,5,0.0,1029,1029,0.1071478430825073,,,,,,,,False
A1,geommlp,softmax,scan,f1_class::Cleft Palate,0.07196285708699099,0.01938186739110574,0.0454545454545454,0.0930232558139534,5,0.0,1029,1029,0.047568710359408004,,,,,,,,False
A1,geommlp,softmax,scan,f1_class::Unaffected,0.7529067735032962,0.025912398934466115,0.7277701778385773,0.7964489537095751,5,0.0,1029,1029,0.0686787758709978,,,,,,,,False
A1,geommlp,softmax,scan,macro_auc,0.5936916249270726,0.01576205876654054,0.577400076274474,0.6118685724878107,5,0.0,1029,1029,0.0344684962133367,0.5487359928669273,0.6392199494875884,0.09048395662066111,0.5987632422239528,0.5551392795752618,0.6399584130585616,0.32176109555219834,True
A1,geommlp,softmax,scan,macro_f1,0.27543404774461444,0.015109678322534867,0.2550364110109983,0.2976105866089054,5,0.0,1029,1029,0.042574175597907105,0.24743881127096187,0.3054281013007162,0.05798929002975431,0.2772093751769742,0.2464785462274712,0.3116633155246897,0.11749604422166915,True
A1,pointnet,softmax,scan,accuracy,0.7343051506316812,0.07152139569267893,0.6219630709426628,0.7959183673469388,5,0.0,1029,1029,0.17395529640427598,0.7072886297376093,0.7607385811467444,0.05344995140913511,0.7473275024295433,0.7201166180758017,0.7745383867832848,0.18207630977753744,True
A1,pointnet,softmax,scan,f1_class::Cleft Lip,0.0,0.0,0.0,0.0,5,0.0,1029,1029,0.0,,,,,,,,False
A1,pointnet,softmax,scan,f1_class::Cleft Lip and Palate,0.10112938643760097,0.050140916489683,0.0264900662251655,0.1584158415841584,5,0.0,1029,1029,0.13192577535899289,,,,,,,,False
A1,pointnet,softmax,scan,f1_class::Cleft Palate,0.0,0.0,0.0,0.0,5,0.0,1029,1029,0.0,,,,,,,,False
